TrialNumber,Participant,ConFBLSMCLS,ConRew,Bias,TrialType,Reward,LongShort,FBMem,Gender,Age,AQ,PI20,FB (1) vs MC(2),Short (1) vs Long (2)
7,19,4,1,-0.04,MCL,Pos,Long,Mem,2,21,10,53,2,2
8,19,2,1,0.01,FBL,Pos,Long,FB,2,21,10,53,1,2
9,19,1,2,-0.06,FBS,Neg,Short,FB,2,21,10,53,1,1
10,19,3,2,0.04,MCS,Neg,Short,Mem,2,21,10,53,2,1
11,19,2,2,0.06,FBL,Neg,Long,FB,2,21,10,53,1,2
12,19,4,2,0.1,MCL,Neg,Long,Mem,2,21,10,53,2,2
13,19,4,1,0.01,MCL,Pos,Long,Mem,2,21,10,53,2,2
14,19,2,1,0.03,FBL,Pos,Long,FB,2,21,10,53,1,2
15,19,3,1,-0.01,MCS,Pos,Short,Mem,2,21,10,53,2,1
16,19,1,2,-0.03,FBS,Neg,Short,FB,2,21,10,53,1,1
1,20,1,1,-0.01,FBS,Pos,Short,FB,2,36,18,80,1,1
2,20,2,2,0.01,FBL,Neg,Long,FB,2,36,18,80,1,2
3,20,3,1,0.42,MCS,Pos,Short,Mem,2,36,18,80,2,1
4,20,4,2,-0.03,MCL,Neg,Long,Mem,2,36,18,80,2,2
5,20,1,1,0.02,FBS,Pos,Short,FB,2,36,18,80,1,1
6,20,3,2,-0.02,MCS,Neg,Short,Mem,2,36,18,80,2,1
7,20,4,1,0.09,MCL,Pos,Long,Mem,2,36,18,80,2,2
8,20,2,1,-0.05,FBL,Pos,Long,FB,2,36,18,80,1,2
9,20,1,2,-0.01,FBS,Neg,Short,FB,2,36,18,80,1,1
10,20,3,2,0.01,MCS,Neg,Short,Mem,2,36,18,80,2,1
11,20,2,2,0.13,FBL,Neg,Long,FB,2,36,18,80,1,2
12,20,4,2,0.07,MCL,Neg,Long,Mem,2,36,18,80,2,2
13,20,4,1,0.08,MCL,Pos,Long,Mem,2,36,18,80,2,2
14,20,2,1,0.08,FBL,Pos,Long,FB,2,36,18,80,1,2
15,20,3,1,0,MCS,Pos,Short,Mem,2,36,18,80,2,1
16,20,1,2,0.08,FBS,Neg,Short,FB,2,36,18,80,1,1
1,21,1,1,0.02,FBS,Pos,Short,FB,1,30,15,66,1,1
2,21,2,2,-0.1,FBL,Neg,Long,FB,1,30,15,66,1,2
3,21,3,1,-0.08,MCS,Pos,Short,Mem,1,30,15,66,2,1
4,21,4,2,-0.01,MCL,Neg,Long,Mem,1,30,15,66,2,2
5,21,1,1,-0.01,FBS,Pos,Short,FB,1,30,15,66,1,1
6,21,3,2,0.01,MCS,Neg,Short,Mem,1,30,15,66,2,1
7,21,4,1,-0.06,MCL,Pos,Long,Mem,1,30,15,66,2,2
8,21,2,1,0.28,FBL,Pos,Long,FB,1,30,15,66,1,2
9,21,1,2,-0.02,FBS,Neg,Short,FB,1,30,15,66,1,1
10,21,3,2,0.02,MCS,Neg,Short,Mem,1,30,15,66,2,1
11,21,2,2,-0.04,FBL,Neg,Long,FB,1,30,15,66,1,2
12,21,4,2,-0.13,MCL,Neg,Long,Mem,1,30,15,66,2,2
13,21,4,1,-0.06,MCL,Pos,Long,Mem,1,30,15,66,2,2
14,21,2,1,-0.01,FBL,Pos,Long,FB,1,30,15,66,1,2
15,21,3,1,-0.1,MCS,Pos,Short,Mem,1,30,15,66,2,1
16,21,1,2,0.27,FBS,Neg,Short,FB,1,30,15,66,1,1
1,22,1,1,0.06,FBS,Pos,Short,FB,1,22,16,43,1,1
2,22,2,2,-0.01,FBL,Neg,Long,FB,1,22,16,43,1,2
3,22,3,1,0.09,MCS,Pos,Short,Mem,1,22,16,43,2,1
4,22,4,2,-0.09,MCL,Neg,Long,Mem,1,22,16,43,2,2
5,22,1,1,-0.03,FBS,Pos,Short,FB,1,22,16,43,1,1
6,22,3,2,-0.03,MCS,Neg,Short,Mem,1,22,16,43,2,1
7,22,4,1,-0.06,MCL,Pos,Long,Mem,1,22,16,43,2,2
8,22,2,1,0.01,FBL,Pos,Long,FB,1,22,16,43,1,2
9,22,1,2,0,FBS,Neg,Short,FB,1,22,16,43,1,1
10,22,3,2,0.04,MCS,Neg,Short,Mem,1,22,16,43,2,1
11,22,2,2,0.07,FBL,Neg,Long,FB,1,22,16,43,1,2
12,22,4,2,0.04,MCL,Neg,Long,Mem,1,22,16,43,2,2
13,22,4,1,0.08,MCL,Pos,Long,Mem,1,22,16,43,2,2
14,22,2,1,0.02,FBL,Pos,Long,FB,1,22,16,43,1,2
15,22,3,1,-0.01,MCS,Pos,Short,Mem,1,22,16,43,2,1
16,22,1,2,0.02,FBS,Neg,Short,FB,1,22,16,43,1,1
1,23,1,1,0.03,FBS,Pos,Short,FB,2,20,10,36,1,1
2,23,2,2,-0.05,FBL,Neg,Long,FB,2,20,10,36,1,2
3,23,3,1,0,MCS,Pos,Short,Mem,2,20,10,36,2,1
4,23,4,2,0.01,MCL,Neg,Long,Mem,2,20,10,36,2,2
5,23,1,1,0,FBS,Pos,Short,FB,2,20,10,36,1,1
6,23,3,2,-0.01,MCS,Neg,Short,Mem,2,20,10,36,2,1
7,23,4,1,0.08,MCL,Pos,Long,Mem,2,20,10,36,2,2
8,23,2,1,0,FBL,Pos,Long,FB,2,20,10,36,1,2
9,23,1,2,0.19,FBS,Neg,Short,FB,2,20,10,36,1,1
10,23,3,2,0.03,MCS,Neg,Short,Mem,2,20,10,36,2,1
11,23,2,2,-0.09,FBL,Neg,Long,FB,2,20,10,36,1,2
12,23,4,2,-0.09,MCL,Neg,Long,Mem,2,20,10,36,2,2
13,23,4,1,0.09,MCL,Pos,Long,Mem,2,20,10,36,2,2
14,23,2,1,0.05,FBL,Pos,Long,FB,2,20,10,36,1,2
15,23,3,1,-0.06,MCS,Pos,Short,Mem,2,20,10,36,2,1
16,23,1,2,0.06,FBS,Neg,Short,FB,2,20,10,36,1,1
1,24,1,1,0.02,FBS,Pos,Short,FB,1,20,19,38,1,1
